Zone,Quest,AP,Type,Sample,Bronze Material,,,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,,,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Camelot,Sandstorm Desert,19,Free,7173,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.6,,,,,,,,,,,,157.3,170.9,159.7,,,,,,,,,,,,,,,,,,551.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,33.42,712.0,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42.00,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
Camelot,Dune of Dawn,19,Free,1436,,,,,,,,,,,,,,,,,,,106.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8,,,,,,,,,,,,,,,,,110.5,,,,,,,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,,,33.42,712.0,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42.00,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
Camelot,Wastelands of Death,19,Free,5506,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,111.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44.00,39.63,36.16,41.37,42.26,41.42,44.00,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
Camelot,East Village,19,Free,1578,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.7,,,,,,,,,,,,,,,,,,,42.2,,,,,,,211.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44.00,39.63,36.16,41.37,42.26,41.42,44.00,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
Camelot,Fortress ot Round Table,19,Free,1543,38.1,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,119.2,,,,,,151.1,,166.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,191.7,,,,,,,,,,,,,35.53,819.8,478.9,38.16,40.79,36.21,39.05,42.63,41.68,44.32,45.26,40.84,37.26,42.63,43.47,42.53,45.26,44.37,44.37,46.16,47.00,46.09,47.00,48.79,48.79,
Camelot,Mausoleum ot Evening Bell,19,Free,1108,,,,,,,,,,,,,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,679.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.2,,,,,,,,,,35.53,819.8,478.9,38.16,40.79,36.21,39.05,42.63,41.68,44.32,45.26,40.84,37.26,42.63,43.47,42.53,45.26,44.37,44.37,46.16,47.00,46.09,47.00,48.79,48.79,
Camelot,West Village Ruins,20,Free,1649,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,,,,,,,,,,,,,,,,,,,,,,,187.4,,,,,,,,478.0,,,,,,,,57.6,,,,,,,,,,33.75,778.8,455.0,36.25,38.75,34.40,37.10,40.50,39.60,42.10,43.00,38.80,35.40,40.50,41.30,40.40,43.00,42.15,42.15,43.85,44.65,43.79,44.65,46.35,46.35,
Camelot,Atlas Institute,20,Free,1142,,,,,,,,,,,,,,,,,,,,,83.7,198.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,,,,,,,,126.2,,,122.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3,,,,,,,,,,,,,,34.75,832.4,468.0,37.25,39.75,35.40,38.20,41.70,40.70,43.20,44.20,39.95,36.45,41.70,42.45,41.45,44.20,43.40,43.40,45.15,45.90,44.94,45.90,47.65,47.65,
Camelot,Main Gate,20,Free,1328,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.4,361.2,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.1,254.6,291.0,,,,,,,,,,,,,35.75,887.6,481.0,38.25,40.75,36.45,39.30,42.90,41.80,44.30,45.40,41.10,37.50,42.90,43.60,42.50,45.40,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
Camelot,Holy City,20,Free,25317,51.4,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,155.9,,,,,,,,,,,,,,,,,347.0,,173.3,,,,,,,,,,,,,,575.1,,,,,,195.5,,,,,,,,,,,,,,,,,,,,,,,,143.5,,24.1,,,,,,,35.75,887.6,481.0,38.25,40.75,36.45,39.30,42.90,41.80,44.30,45.40,41.10,37.50,42.90,43.60,42.50,45.40,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
Camelot,Hidden Village,21,Free,150052,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9,,,,,,,,,,,,,,,,,,184.8,375.1,,,,,,238.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Camelot,Royal Castle,21,Free,5506,,,,54.3,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,198.5,,,,,,,,441.0,,,,,,,,86.1,,,,,,,,,,,,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Camelot,Land of the Void,22,Free,7362,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.3,,126.4,,,,,,,,377.9,,392.8,,,,611.8,,313.8,,,,,,,,,,,,,,,,,,,,,,457.7,,225.5,,,,,,,,,,,,37.95,"1,138.5",508.2,40.23,42.50,38.68,41.73,45.55,44.00,46.27,47.82,43.64,39.82,45.55,45.91,44.36,47.82,47.41,47.41,49.32,49.68,48.17,49.68,51.59,51.59,
Camelot,Great Temple,22,Free,50418,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.4,,,,,,,,,,,,,,,,,384.4,128.5,,,,,,,,,,,,,,318.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,38.86,"1,198.9",520.0,41.14,43.41,39.64,42.73,46.64,45.00,47.27,48.91,44.68,40.77,46.64,46.95,45.32,48.91,48.55,48.55,50.50,50.82,49.22,50.82,52.77,52.77,
Babylonia,Fallen Babylon,20,Free,8789,,,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Northern Hill,20,Free,10798,,,,,,,,,,,,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,,,,,,,,,,,,,,,,,72.3,,,,,,,,,,226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,379.4,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Black Cedar Forest,20,Free,1106,,,,,,,,,,,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7,,,,,,,,,,,,,,54.9,,,,,,,,225.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Plateau,20,Free,1026,,,,,,36.1,,,,,,,,,,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.5,77.3,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Bog,21,Free,1006,,,,,,47.8,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,,,,,,120.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.4,,,,,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Ur,21,Free,1688,,,,,,,,,,,,,,,,74.2,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8,,,,,198.0,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Eridu,21,Free,11034,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,,,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Observatory,21,Free,5894,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,,,,,,,,181.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,,,,,,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Babylonia,Field of Reeds,21,Free,1853,,,,,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8,,,,,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Babylonia,Kutha,21,Free,4310,,,,,,,,,,,,,,,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,,,,,,,,159.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2,,,,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Babylonia,Northern Wall,21,Free,1016,,,,,,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.4,,,,,,,,,,,,,58.5,,,,,,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7,387.9,,,,,,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Babylonia,Nippur,21,Free,4363,,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9,,,,,,,,,,,,,,,,,,,,71.8,,,,,,,,,,,,,,,,,601.7,,,,,,,,,,,,,,,,,,,,,,,145.4,,,,,,,,,391.8,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Babylonia,Mt. Ebih,21,Free,32581,,,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2,,,,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,,626.8,,,,,,,,,,,,,,,,,,,,,,,,85.4,,,,,,,,396.2,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Babylonia,Blood Fort,21,Free,27438,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,122.0,,,,,,,,119.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Shinjuku,Yoyogi 2-Chome,20,Free,3000,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Shinjuku,Route 20,20,Free,2562,,,,60.6,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7,,,,,,,,194.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.8,,,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Shinjuku,Shinjuku Station,21,Free,45629,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1,,,,,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Shinjuku,Shinjuku 4-Chome,21,Free,2236,,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,,,,,,,,,,,,,,,,,,,,,,,,75.9,,,,,,,,,,,,,,,,,,361.9,,,,,,,,,,,,,,,,,,,,,,133.9,,416.0,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Shinjuku,Kabukicho,21,Free,2372,,,,65.0,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,109.5,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Shinjuku,Barrel Tower,21,Free,2898,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Shinjuku,Party Hall,21,Free,2214,,,,67.0,,,57.7,,,,,,,,,,,,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8,,,,,,,,175.4,,,,118.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,,55.8,,,,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Shinjuku,Tower- Top Floor,21,Free,4299,,,,,,,,,,,,,,,,,,,,,74.9,,,,,,,,,,,,,,,,,,,,,,,159.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,409.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.3,,,339.8,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Shinjuku,Shinjuku Gyoen,21,Free,4370,,,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,,,,,,,391.8,,,,,,,,,,,,,,,,,,,,,,,,228.8,,,,,,,,457.8,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Shinjuku,Shinjuku 2-Chome,21,Free,16533,,,,,,,,,,,,,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,246.0,,,,,231.3,,,90.6,,,,,,,,615.8,,,,,,,,,,,,,,,,,,,,,414.3,,,460.7,,,,,,,,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Agartha,Underground Plains,20,Free,4105,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,,,,,,,,,,,,,,,,416.8,,,,,,,,,,,,,,,,,,,,,,,,351.6,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Camping Ground,20,Free,2325,,,,,,,,,,,,,,,,112.9,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,,,,,,,,,45.7,,,,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.6,,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Riverside Town,20,Free,2252,,,,,,,,,,,,,,,,47.0,,,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,114.9,,,,,,,,539.0,,,,,,,,,,,,,,,,,,,,,,,,346.6,,,,,,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Peach Blossom Shangri-La,21,Free,39304,,,,,,,,,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,,,,,,,,183.6,,,,,,,,604.1,,,,,,,,,,,,,,,,,,,,,,,,401.0,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Ys,21,Free,1722,46.0,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1,,,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Northern Cliffs,21,Free,11066,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Nightless City,21,Free,1334,,,,64.4,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Agartha,Foothills Jungle,21,Free,3397,,,38.5,,,,,,,,,,,,,127.6,,,,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7,,71.9,,,,,,173.6,,377.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.6,,,,,,,,,,,,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Agartha,Dragon Palace,21,Free,1102,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7,,,,,,,,,,,,62.2,,,,,,,,,,,,,,404.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.6,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Agartha,Great Under River,21,Free,10464,,,,,,,,,,,,,,,,73.0,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,121.9,,,,,,,,631.6,,,,,,,,,,,,,,,,,,,,,,,,422.6,,,,,,,,,,,,,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Agartha,El Dorado,21,Free,1466,,,,64.9,,,,,,,,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,,,,,,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Agartha,Chasm it Earth,21,Free,1200,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,101.6,,,,,,,,,,,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Shimousa,Rice Field,20,Free,1174,,,,,,,,,,,,,,,,45.2,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.9,,,96.3,,,,,,,,,,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Shimousa,Village,21,Free,3160,,,,67.2,,,,,,,,,,,,52.9,,,,,,,,,,,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,,,,,,122.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.3,,109.6,,,,,,,,,,,,,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
