Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Camelot,Sandstorm Desert,19,75762,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.2,,,,,,,,,,Sandstorm Desert,162.9,194.1,190.3,,,,,,,,,,,,,,,,,,613.8,,,Sandstorm Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,Sandstorm Desert,33.42,712.0,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42.00,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
Camelot,Dune of Dawn,19,1102,,,,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,174.5,,,,,,,,,,,Dune of Dawn,,,,,119.0,,,,,,,,42.9,,,,,,,,,,,Dune of Dawn,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,Dune of Dawn,33.42,712.0,451.6,36.05,38.68,34.05,36.74,40.11,39.37,42.00,42.74,38.42,35.05,40.11,41.05,40.32,42.74,41.74,41.74,43.42,44.37,43.67,44.37,46.05,46.05,
Camelot,Wastelands of Death,19,25830,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wastelands of Death,,,,,,95.3,126.7,,,,,,,,,,,,,,,,,Wastelands of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wastelands of Death,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44.00,39.63,36.16,41.37,42.26,41.42,44.00,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
Camelot,East Village,19,4728,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7,,,,,,,,,,,,,,East Village,,,,47.1,,,,,,,245.9,,,,,,,,,,,,,East Village,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,East Village,34.47,765.1,465.3,37.11,39.74,35.16,37.89,41.37,40.53,43.16,44.00,39.63,36.16,41.37,42.26,41.42,44.00,43.05,43.05,44.79,45.68,44.88,45.68,47.42,47.42,
Camelot,Fortress ot Round Table,19,4162,42.9,,,,,,,,,,,,,,,,,,,,,,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortress ot Round Table,194.3,,127.5,,,,,,186.5,,198.5,,,,,,,,,,,,,Fortress ot Round Table,,,,,,,,,,,,,,,,,179.8,,178.0,,,,,,,,,,,,,Fortress ot Round Table,35.53,819.8,478.9,38.16,40.79,36.21,39.05,42.63,41.68,44.32,45.26,40.84,37.26,42.63,43.47,42.53,45.26,44.37,44.37,46.16,47.00,46.09,47.00,48.79,48.79,
Camelot,Mausoleum ot Evening Bell,19,3062,,,,,,,,,,,,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mausoleum ot Evening Bell,,,,,,38.5,,,,,,,,969.0,,,,,,,,,,Mausoleum ot Evening Bell,,,,,,,,,,,,,,,,,,,,,,393.3,,,,,,,,,,Mausoleum ot Evening Bell,35.53,819.8,478.9,38.16,40.79,36.21,39.05,42.63,41.68,44.32,45.26,40.84,37.26,42.63,43.47,42.53,45.26,44.37,44.37,46.16,47.00,46.09,47.00,48.79,48.79,
Camelot,West Village Ruins,20,1582,,,,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Village Ruins,,,,,,42.8,,,,,,,,,,,,,,,,,,West Village Ruins,,,,,,210.4,,,,,,,,498.9,,,,,,,,55.9,,,,,,,,,,West Village Ruins,33.75,778.8,455.0,36.25,38.75,34.40,37.10,40.50,39.60,42.10,43.00,38.80,35.40,40.50,41.30,40.40,43.00,42.15,42.15,43.85,44.65,43.79,44.65,46.35,46.35,
Camelot,Atlas Institute,20,1206,,,,,,,,,,,,,,,,,,,95.7,248.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlas Institute,,135.6,,,,,,,,123.9,,,125.7,,,,,,,,,,,Atlas Institute,,,,,,,,,,,,,,,,,,126.4,,,,,,,,,,,,,,Atlas Institute,34.75,832.4,468.0,37.25,39.75,35.40,38.20,41.70,40.70,43.20,44.20,39.95,36.45,41.70,42.45,41.45,44.20,43.40,43.40,45.15,45.90,44.94,45.90,47.65,47.65,
Camelot,Main Gate,20,60867,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Gate,,,,,,,,,194.3,379.4,194.1,,,,,,,,,,,,,Main Gate,,,,,,,,,,,,,,,,,170.7,257.9,295.6,,,,,,,,,,,,,Main Gate,35.75,887.6,481.0,38.25,40.75,36.45,39.30,42.90,41.80,44.30,45.40,41.10,37.50,42.90,43.60,42.50,45.40,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
Camelot,Holy City,20,45960,55.6,,,,,,,,,,,,,,,73.2,,,,,,,,,,,,,,,,,,,,,,,164.6,,,,,,,,,,,,,,,Holy City,392.5,,195.4,,,,,,,,,,,,,,636.2,,,,,,221.0,Holy City,,,,,,,,,,,,,,,,,,,,,,,134.3,,24.1,,,,,,,Holy City,35.75,887.6,481.0,38.25,40.75,36.45,39.30,42.90,41.80,44.30,45.40,41.10,37.50,42.90,43.60,42.50,45.40,44.65,44.65,46.45,47.15,46.09,47.15,48.95,48.95,
Camelot,Hidden Village,21,140819,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6,,,,,,,,,,,Hidden Village,,,,,,211.0,426.2,,,,,,265.2,,,,,,,,,,,Hidden Village,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,Hidden Village,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Camelot,Royal Castle,21,113525,,,,131.5,,,,,,,,,,,,,,,,,,,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Castle,,,,,,,,,85.8,,,,,,,,,,,,,,,Royal Castle,209.1,,,,,,,,515.5,,,,,,,,86.3,,,,,,,,,,,,,,,Royal Castle,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Camelot,Land of the Void,22,5522,,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land of the Void,,258.5,,139.2,,,,,,,,505.5,,417.4,,,,689.5,,345.9,,,,Land of the Void,,,,,,,,,,,,,,,,,,424.5,,248.8,,,,,,,,,,,,Land of the Void,37.95,"1,138.5",508.2,40.23,42.50,38.68,41.73,45.55,44.00,46.27,47.82,43.64,39.82,45.55,45.91,44.36,47.82,47.41,47.41,49.32,49.68,48.17,49.68,51.59,51.59,
Camelot,Great Temple,22,64551,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,,,,,,,,,,Great Temple,,,,,,451.9,148.7,,,,,,,,,,,,,,366.8,,,Great Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,Great Temple,38.86,"1,198.9",520.0,41.14,43.41,39.64,42.73,46.64,45.00,47.27,48.91,44.68,40.77,46.64,46.95,45.32,48.91,48.55,48.55,50.50,50.82,49.22,50.82,52.77,52.77,
Babylonia,Fallen Babylon,20,13741,,,,,,,,,,,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fallen Babylon,,,,44.1,,,,,,,,,,,,,,,,,,,,Fallen Babylon,,,,,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,Fallen Babylon,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Northern Hill,20,14135,,,,,,,,,,,,,,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2,,,,,,,,,,,,Northern Hill,,,,83.0,,,,,,,,,,250.4,,,,,,,,,,Northern Hill,,,,,,,,,,,,,,,,,,,,82.7,,374.5,,,,,,,,,,Northern Hill,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Black Cedar Forest,20,1916,,,,,,,,,,,,,,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9,,,,,,,,,Black Cedar Forest,,,,59.1,,,,,,,,232.0,,,,,,,,,,,,Black Cedar Forest,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,Black Cedar Forest,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Plateau,20,13305,,,,,,40.5,,,,,,,,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plateau,,,96.9,78.5,,,,,,,,,,,,,,,,,,,,Plateau,,,,,,,,,,,,,,,,,,,149.6,77.4,,,,,,,,,,,,Plateau,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Babylonia,Bog,21,2879,,,,,,52.8,,,,,,,,,,,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bog,,,82.8,,,,,,,130.0,,,,,,,,,,,,,,Bog,,,,,,,,,,,,,,,,,,186.6,,,,,,,,,,,,,,Bog,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Ur,21,22684,,,,,,,,,,,,,,88.1,,,,,,,,,,,,,,,,,,,,,,116.2,,,,,,,,,,,,,,,,,,Ur,,,,,,,,,239.9,,,,,231.6,91.3,,,,,,,,,Ur,,,,,,,,,,,,,,,,,,,,,,,124.4,,,,,,,,,Ur,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Eridu,21,24693,,,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eridu,,,,54.6,,,,,,,,110.9,,,,,,,,,,,,Eridu,,,,,,,,,,,,,,,,,,,,141.5,,,,,,,,,,,,Eridu,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Babylonia,Observatory,21,38284,,,,,,,,,,,,,,,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observatory,55.7,,,,,,,,171.1,,,,,,,,,,,,,,,Observatory,,,,,,,,,,,,,,,,,78.8,,,,,,,,,,,,,,,Observatory,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Babylonia,Field of Reeds,21,24921,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field of Reeds,,,46.7,,,,,,,,,,,,,,,,,,,,,Field of Reeds,,,,,,,,,,,,,,,,,,,126.6,,,,,,,,,,,,,Field of Reeds,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Babylonia,Kutha,21,21716,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutha,,,,,,62.5,,,,,,,,184.2,,,,,,,,,,Kutha,,,,,,,,,,,,,,,,,,,,,,195.6,,,,,,,,,,Kutha,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Babylonia,Northern Wall,21,6601,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.9,,,,,,,,,Northern Wall,,,67.9,,,,,,,,,275.2,,,,,,,,,,,,Northern Wall,,,,,,,,,,,,,,,,,,,143.8,400.2,,,,,,,,,,,,Northern Wall,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Babylonia,Nippur,21,95016,,,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.9,,,,,,,,,,,,,,,,Nippur,,,84.7,,,,,,,,,,,,,,,,,672.6,,,,Nippur,,,,,,,,,,,,,,,,,,,158.9,,,,,,,,,444.9,,,,Nippur,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Babylonia,Mt. Ebih,21,35194,,,,,,,,,,,,,,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3,,,,,,,,Mt. Ebih,,,,,,,,,,,,,,,84.9,,,,,,,,676.0,Mt. Ebih,,,,,,,,,,,,,,,,,,,,,,,86.5,,,,,,,,389.7,Mt. Ebih,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Babylonia,Blood Fort,21,83264,,,,,,,,,,,,,,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2,,,,,,,,,Blood Fort,,,,140.0,,,,,,,,130.3,,,,,,,,,,,,Blood Fort,,,,,,,,,,,,,,,,,,,,86.9,,,,,,,,,,,,Blood Fort,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Shinjuku,Yoyogi 2-Chome,20,1154,,,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoyogi 2-Chome,,,,,69.1,,,,,,,,,,,,,,,,,,,Yoyogi 2-Chome,,,,,,,,,,,,,,,,,,,,,173.7,,,,,,,,,,,Yoyogi 2-Chome,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Shinjuku,Route 20,20,43340,,,,66.0,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Route 20,,126.9,,,,,,,,187.7,,,,,,,,,,,,,,Route 20,,,,,,,,,,,,,,,,,,187.5,,,,,,,,,,,,,,Route 20,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Shinjuku,Shinjuku Station,21,64660,,,,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shinjuku Station,,103.3,,,,,,,,83.4,,,,,,,,,,,,,,Shinjuku Station,,,,,,,,,,,,,,,,,,87.2,,,,,,,,,,,,,,Shinjuku Station,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Shinjuku,Shinjuku 4-Chome,21,50429,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1,,,,,,,,,,,,,,,,,,Shinjuku 4-Chome,,,,,84.9,,,,,,,,,,,,,,,,,,410.1,Shinjuku 4-Chome,,,,,,,,,,,,,,,,,,,,,132.5,,378.6,,,,,,,,,Shinjuku 4-Chome,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Shinjuku,Kabukicho,21,8469,,,,69.2,,,,,,,,,,,,,,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kabukicho,,,,,,,,,,,,,,58.1,,,,,,,,,,Kabukicho,,,,,,,,,,,,,,,,,,,,,,60.7,111.1,,,,,,,,,Kabukicho,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Shinjuku,Barrel Tower,21,14315,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barrel Tower,,,,,,,,,,,,,,45.3,,,,,,,,,,Barrel Tower,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,,,Barrel Tower,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
Shinjuku,Party Hall,21,2822,,,,73.7,,,72.5,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Party Hall,,141.1,,,,,,,,193.8,,,,143.4,,,,,,,,,,Party Hall,,,,,,,,,,,,,,,,,,81.2,,,,57.8,,,,,,,,,,Party Hall,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Shinjuku,Tower- Top Floor,21,14110,,,,,,,,,,,,,,,,,,,101.9,,,,,,,,,,,,,,,,,,,,180.2,,,,,,,,,,,,,,,Tower- Top Floor,,,,,,,,,,,,,,79.2,,,501.9,,,,,,,Tower- Top Floor,,,,,,,,,,,,,,,,,,,,,,78.7,,,575.5,,,,,,,Tower- Top Floor,37.86,"1,070.9",507.6,40.24,42.62,38.57,41.62,45.43,44.00,46.38,47.81,43.52,39.71,45.43,45.90,44.48,47.81,47.29,47.29,49.19,49.67,48.27,49.67,51.57,51.57,
Shinjuku,Shinjuku Gyoen,21,59303,,,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.1,,,,,,,,,,,,,,,,,Shinjuku Gyoen,,,,,54.2,,,,,,,,,,,,,,,,469.8,,,Shinjuku Gyoen,,,,,,,,,,,,,,,,,,,,,235.4,,,,,,,,451.1,,,Shinjuku Gyoen,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Shinjuku,Shinjuku 2-Chome,21,76893,,,,,,,,,,,,,,,,,,,,69.3,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,Shinjuku 2-Chome,,,,,250.6,,,,,255.2,,,106.7,,,,,,,,638.5,,,Shinjuku 2-Chome,,,,,,,,,,,,,,,,,,420.0,,,357.0,,,,,,,,,,,Shinjuku 2-Chome,38.81,"1,131.0",520.0,41.19,43.57,39.57,42.67,46.57,45.05,47.43,48.95,44.62,40.71,46.57,47.00,45.48,48.95,48.48,48.48,50.43,50.86,49.37,50.86,52.81,52.81,
Agartha,Underground Plains,20,51523,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,Underground Plains,,,,68.3,,,,,,,,,,,,,,,,,,,388.3,Underground Plains,,,,,,,,,,,,,,,,,,,,,,,351.6,,,,,,,,,Underground Plains,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Camping Ground,20,3347,,,,,,,,,,,,,,117.2,,,,136.6,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,Camping Ground,,,48.3,,,,,,,,109.8,,,,,,,,,,,,,Camping Ground,,,,,,,,,,,,,,,,,,,422.6,,,,,,,,,,,,,Camping Ground,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Riverside Town,20,21056,,,,,,,,,,,,,,50.9,,,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riverside Town,51.2,,,,,,,,133.9,,,,,,,,595.5,,,,,,,Riverside Town,,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,Riverside Town,36.75,944.4,494.0,39.25,41.75,37.45,40.40,44.10,42.90,45.40,46.60,42.25,38.55,44.10,44.75,43.55,46.60,45.90,45.90,47.75,48.40,47.24,48.40,50.25,50.25,
Agartha,Peach Blossom Shangri-La,21,32683,,,,,,,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peach Blossom Shangri-La,,,,,,,66.5,,,,,,,,216.9,,,,,,,,605.5,Peach Blossom Shangri-La,,,,,,,,,,,,,,,,,,,,,,,383.0,,,,,,,,,Peach Blossom Shangri-La,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Ys,21,5932,56.8,,,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ys,,,,54.6,,,,,,,,,,,,,,,,,,,,Ys,,,,,,,,,,,,,,,,,,,,108.8,,,,,,,,,,,,Ys,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Northern Cliffs,21,4001,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,,,,,,,,,,,,Northern Cliffs,,,,,,,,,,,,,,65.4,,,,,,,,,,Northern Cliffs,,,,,,,,,,,,,,,,,,,,,,66.3,,,,,,,,,,Northern Cliffs,35.95,955.0,482.9,38.33,40.71,36.67,39.52,43.14,41.90,44.29,45.52,41.33,37.71,43.14,43.71,42.48,45.52,44.90,44.90,46.71,47.29,46.08,47.29,49.10,49.10,
Agartha,Nightless City,21,9608,,,,70.5,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nightless City,,,,,,,,,,,,,,59.7,,,,,,,,,,Nightless City,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,Nightless City,36.90,"1,012.2",495.2,39.29,41.67,37.62,40.57,44.29,42.95,45.33,46.67,42.43,38.71,44.29,44.81,43.48,46.67,46.10,46.10,47.95,48.48,47.18,48.48,50.33,50.33,
